FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.72,POINT (8.3154912 49.1597841),116557,Apfel,L 493,76761,Rülzheim,3 Äpfel,2023-08-01 15:59:00,https://mundraub.org/node/116557
MRN_mundraub_4326_Point.73,POINT (8.3161382 49.1599125),116555,Kirsche,L 493,76761,Rülzheim,Größer baum,2023-08-01 15:49:00,https://mundraub.org/node/116555
MRN_mundraub_4326_Point.74,POINT (8.2485046 49.1604083),115843,Mirabelle,Knittelsheimer Weg,76863,Herxheim,5x,2023-07-16 11:02:00,https://mundraub.org/node/115843
MRN_mundraub_4326_Point.75,POINT (8.315676748753 49.160444942166),116559,Brombeere,L 493,76761,Rülzheim,Lange hecke,2023-08-01 16:10:00,https://mundraub.org/node/116559
MRN_mundraub_4326_Point.76,POINT (8.315987 49.1605581),116558,Kirsche,L 493,76761,Rülzheim,Größer Baum mit Leiter kommen,2023-08-01 16:07:00,https://mundraub.org/node/116558
MRN_mundraub_4326_Point.77,POINT (8.2639213 49.1606659),115841,Walnuss,Unbekannt,76761,Rülzheim,1x alter baum,2023-07-16 10:42:00,https://mundraub.org/node/115841
MRN_mundraub_4326_Point.78,POINT (8.2483737 49.1608958),115844,Birne,Knittelsheimer Weg,76863,Herxheim,1x,2023-07-16 11:04:00,https://mundraub.org/node/115844
MRN_mundraub_4326_Point.79,POINT (8.319085 49.1608983),117409,Kirsche,L 493,76761,Rülzheim,1x,2023-08-19 11:34:00,https://mundraub.org/node/117409
MRN_mundraub_4326_Point.80,POINT (8.2482267 49.1609708),115842,Apfel,Knittelsheimer Weg,76863,Herxheim,Diverse Sorten,2023-07-16 11:01:00,https://mundraub.org/node/115842
MRN_mundraub_4326_Point.81,POINT (8.2672615 49.1614504),115840,Walnuss,Unbekannt,76761,Rülzheim,2x,2023-07-16 10:40:00,https://mundraub.org/node/115840
MRN_mundraub_4326_Point.82,POINT (8.2966408 49.1614737),116382,Quitte,Hubenweg,76761,Rülzheim,2x,2023-07-29 20:41:00,https://mundraub.org/node/116382
MRN_mundraub_4326_Point.83,POINT (8.2966408 49.1614737),116383,Quitte,Hubenweg,76761,Rülzheim,2x,2023-07-29 20:41:00,https://mundraub.org/node/116383
MRN_mundraub_4326_Point.84,POINT (8.2484255 49.1615453),115845,Walnuss,Knittelsheimer Weg,76863,Herxheim,Mehrere Bäume,2023-07-16 11:06:00,https://mundraub.org/node/115845
MRN_mundraub_4326_Point.85,POINT (8.3141537 49.1617461),116560,Walnuss,L 493,76761,Rülzheim,Zig baume,2023-08-01 16:12:00,https://mundraub.org/node/116560
MRN_mundraub_4326_Point.86,POINT (8.2482872 49.1617801),115847,Pflaume,Knittelsheimer Weg,76863,Herxheim,1x,2023-07-16 11:09:00,https://mundraub.org/node/115847
MRN_mundraub_4326_Point.87,POINT (8.312083 49.1621357),116561,Pflaume,L 493,76761,Rülzheim,6x gelbe pflaume Erntezeit 1.8,2023-08-01 16:25:00,https://mundraub.org/node/116561
MRN_mundraub_4326_Point.88,POINT (8.2482234 49.1621983),115848,Mirabelle,Unbekannt,76863,Herxheim,Div. Sorten gelbe rote schwarze,2023-07-16 11:14:00,https://mundraub.org/node/115848
